Neighbourhood Number,Friendly Name,Description,geom
2130,Casselman,"Named for Frederick. C. Casselman, who practised law in Edmonton in the early part of the 20th
century, this northeast neighbourhood consists of a blend of single-family homes and multi-unit
dwellings, as well as substantial recreation spaces and appea","MULTIPOLYGON (((-113.43046505938318 53.606847305743635, -113.43046943705279 53.60697963978517, -113.43046125094249 53.60917926124363, -113.43053723290154 53.6091793617808, -113.43053189390399 53.610587270494975, -113.43052981549228 53.61123611186293, -113.43047641285644 53.61134500423353, -113.43046452878569 53.61318520190027, -113.43045197724221 53.61379653318309, -113.43036355314771 53.61398995358111, -113.43051862804523 53.61413202835986, -113.43051700795063 53.61490464849062, -113.43051610811787 53.61567902834787, -113.43051511482517 53.615849753157974, -113.4246632493595 53.61583624053136, -113.4182155031271 53.61582194410652, -113.41820424789896 53.61368150208473, -113.41812770363086 53.61291191139314, -113.41801539968338 53.61232599784218, -113.41797212486605 53.612035937367736, -113.41783855130504 53.6114909316483, -113.41716803363012 53.60960909533859, -113.41708886687313 53.60913226739226, -113.41710056979262 53.60876190289859, -113.41722270838498 53.60803226598325, -113.417629971565 53.606910941043395, -113.4198891479028 53.606883975917235, -113.4228157515869 53.60688785856061, -113.42367066492304 53.60689090498235, -113.42567596887058 53.60689064555049, -113.42930360518928 53.60689611802145, -113.43003623403548 53.60689037426181, -113.43046505938318 53.606847305743635)))"
2290,Glengarry,"Glengarry is a diverse mix of commercial, residential, institutional and recreational land uses.
Northwood Mall provides excellent retail and service facilities, and the area also features schools,
parkland and a swimming pool. Glengarry is a stable co","MULTIPOLYGON (((-113.49191894372683 53.596768806560746, -113.49207016254711 53.59949732085943, -113.48505612852684 53.599499697863756, -113.48090773346027 53.599493134427185, -113.4746370048837 53.599557925605126, -113.47112427642222 53.59960897044073, -113.46740087977119 53.59966119682018, -113.46735515660795 53.597724254548, -113.46733334378288 53.596863615083485, -113.46730674197121 53.59531886478531, -113.46727096761859 53.59440031197922, -113.46726262509517 53.593181305636335, -113.46723917094552 53.592212803835906, -113.46821237681658 53.592205787154484, -113.46907462061229 53.59221023251633, -113.46993284901956 53.59220465007012, -113.4705970850724 53.59220478552037, -113.47086434902404 53.59214344476972, -113.4726338005617 53.592130631638426, -113.47283776940932 53.592193850042605, -113.47597721439595 53.592165984033386, -113.47619768032875 53.59209753551787, -113.47971391825466 53.59207811125624, -113.48097302825198 53.59206279057678, -113.48122523067987 53.59214055917115, -113.48193243257366 53.59214838553203, -113.48759702126421 53.59210584953811, -113.48780701050205 53.59208821720286, -113.48888278142175 53.592073463847136, -113.49195220741589 53.59204972996752, -113.49196909134017 53.593190066785176, -113.4919001577122 53.593267017849996, -113.4918918513254 53.594614162292004, -113.49191894372683 53.596768806560746)))"
5330,Queen Alexandra,"Queen Alexandra, named for the wife of Edward VII of England, was once part of the original Town of Strathcona. The area features a broad mix of land uses from residential to commercial. 
Queen Alexandra's proximity to the University of Alberta campus,","MULTIPOLYGON (((-113.51204398472419 53.51810091147616, -113.50934367510901 53.51809605770149, -113.50630911165806 53.51809105757574, -113.49757114348019 53.51807483943524, -113.49757362228281 53.517079829610466, -113.49757972525123 53.51613477122389, -113.49758249119563 53.515185664154124, -113.4975860731193 53.51423908193308, -113.49758545433671 53.513289960339506, -113.49758649171227 53.51234387144007, -113.49759080210588 53.5117454909971, -113.49766392888277 53.51166236407481, -113.49766179031707 53.509264969021665, -113.49766420478213 53.508356434982225, -113.49766321486534 53.50737943685267, -113.49766320872679 53.50636848752913, -113.50053503550913 53.50637299567395, -113.50259772831379 53.506373594871405, -113.5027389019277 53.50634715530566, -113.50441618976849 53.50633852578429, -113.504416591179 53.50657672749481, -113.50631071557702 53.50657470791163, -113.51202414796357 53.50657394294333, -113.5120270639445 53.50752311203212, -113.51202955378433 53.50847237196677, -113.51203105835619 53.509419582143344, -113.51203506078771 53.51037007149165, -113.51203767070706 53.51131847922677, -113.5120374794156 53.51226233346841, -113.51204202498127 53.51292708072518, -113.5120403893344 53.51323627149592, -113.51204210004637 53.51407338972281, -113.51203633438394 53.51425947557103, -113.51204212592144 53.51520660379409, -113.51204352801358 53.516154874276594, -113.51204422529578 53.51710359319112, -113.51204398472419 53.51810091147616)))"
3310,North Glenora,"North Glenora was part of a 900-acre farm owned by Malcolm Groat. This land was sold in 1906 to Montreal realtor James Carruthers. The first building project was a recreation complex built in 1953. There is a large senior population in the neighbourhood,","MULTIPOLYGON (((-113.5497969638026 53.55097874123237, -113.55550113871882 53.55096758478002, -113.56136641504844 53.55096084413512, -113.56582457487323 53.550983056390024, -113.56573093750976 53.55153022133234, -113.56570518069302 53.5541507106888, -113.56569321954734 53.556225381772855, -113.56567644698795 53.55882317153472, -113.55551804369749 53.5588296562402, -113.55233669640057 53.558840524761685, -113.55139820578619 53.55892093317529, -113.55085831583843 53.55711568592565, -113.5508382834661 53.55549841288803, -113.55082106688995 53.554383661179, -113.55078754323422 53.55290941198948, -113.5497969638026 53.55097874123237)))"
2400,Kildare,"Kildare, in the City's northeast, is named for an Irish county. The area has a fairly even mix of
residential and commercial/institutional land uses, and is dominated by Londonderry Mall and St.
Michael's Cemetery. Kildare has a stable population, with","MULTIPOLYGON (((-113.44692628517757 53.604961846493836, -113.44605381211973 53.60487802710616, -113.44536203773893 53.60484210370209, -113.44280850323679 53.604843875051095, -113.44283392450569 53.602210198449406, -113.44293521607712 53.599656242071944, -113.44619706148498 53.59967414335044, -113.44905897500388 53.59968508165319, -113.4554635436804 53.59966054768764, -113.46242697301732 53.59966085240426, -113.46740087977119 53.59966119682018, -113.4674883253389 53.60105165548197, -113.46747438950995 53.60374214071339, -113.46743523571406 53.60691755885339, -113.46482423906929 53.60691228264141, -113.46331676897503 53.606919774213836, -113.46031646744363 53.60692943087411, -113.45882652734942 53.60691836016343, -113.45646790409519 53.60691285205201, -113.45599867395775 53.60688207388375, -113.45557181813885 53.606833582787246, -113.45514032856384 53.60675937525857, -113.45410373206302 53.60652792346576, -113.45104878083721 53.605876069564, -113.4498607009397 53.60561681252006, -113.44692628517757 53.604961846493836)))"
5010,Allendale,"Once farmed by the Allen family, this area was annexed by the City of 
Strathcona in 1907 and
became part of Edmonton in 1912 when Strathcona and Edmonton amalgamated. 
Predominately
a single-family residential neighbourhood, Allendale is south-centr","MULTIPOLYGON (((-113.50259772831379 53.506373594871405, -113.50053503550913 53.50637299567395, -113.49766320872679 53.50636848752913, -113.49766225842332 53.50543738339711, -113.49765566673004 53.50436411106658, -113.49765309697399 53.50252822811494, -113.49765648913272 53.501616693382815, -113.49765658201243 53.49986836199753, -113.49763833914609 53.49797727278971, -113.49932490553093 53.49798760764452, -113.50080221436961 53.49803618121185, -113.50225698661725 53.4981116700112, -113.50255629676853 53.49812790977393, -113.50289475406144 53.49813836328341, -113.50441318663691 53.49817448153584, -113.5093354186334 53.49818426656862, -113.51189684946173 53.498219821190055, -113.5119851735305 53.49916063116055, -113.51198018007992 53.500106270790454, -113.51198590114802 53.50105482153833, -113.51198775976063 53.50198273693816, -113.51198917100095 53.502951596633125, -113.51199236509456 53.503901125798755, -113.51200456409924 53.50483634658156, -113.51202366756515 53.50562468983101, -113.51202414796357 53.50657394294333, -113.50631071557702 53.50657470791163, -113.504416591179 53.50657672749481, -113.50441618976849 53.50633852578429, -113.5027389019277 53.50634715530566, -113.50259772831379 53.506373594871405)))"
5310,Parkallen,,"MULTIPOLYGON (((-113.52293678954003 53.5038992579473, -113.52299068103154 53.506361396230915, -113.524594322989 53.50811119043407, -113.52358745406356 53.508441443967, -113.52296085057819 53.508465319438585, -113.51993843980848 53.50847143596529, -113.5166033842781 53.50847265755849, -113.51202955378433 53.50847237196677, -113.5120270639445 53.50752311203212, -113.51202414796357 53.50657394294333, -113.51202366756515 53.50562468983101, -113.51200456409924 53.50483634658156, -113.51199236509456 53.503901125798755, -113.51198917100095 53.502951596633125, -113.51198775976063 53.50198273693816, -113.51198590114802 53.50105482153833, -113.51198018007992 53.500106270790454, -113.5119851735305 53.49916063116055, -113.51189684946173 53.498219821190055, -113.51364519106986 53.498204121740095, -113.51655457836162 53.49820070652618, -113.51985960278428 53.49819120175595, -113.5226864256709 53.49771896944812, -113.52291062141421 53.4982892929478, -113.52293678954003 53.5038992579473)))"
3350,Prince Charles,"Situated on land once own by prominent citizens N. McCauley and A. Wilson, Prince Charles was
first subdivided in 1905 and was annexed in 1910. Early development was spurred by the
construction of an electric street car line which once ran to its south","MULTIPOLYGON (((-113.53121196022207 53.58095873211336, -113.53111524887798 53.580832798421355, -113.53111146979329 53.5778440785368, -113.53111140003892 53.57780944863562, -113.53111064265453 53.577750076567625, -113.53074902840125 53.577650168271234, -113.5307485216205 53.57512050813116, -113.53070563004137 53.57210634072564, -113.53095380072702 53.57194058166153, -113.5309477870182 53.57031399253187, -113.5324720397749 53.570315130499004, -113.53415356859969 53.5703141722331, -113.53591344749262 53.57031217223154, -113.53770876098066 53.57031975982802, -113.53949078626427 53.57031698988309, -113.54119386080883 53.57031458986699, -113.54124409693607 53.5704955457783, -113.5412474866744 53.57193601578744, -113.54124925612749 53.573526173732276, -113.54125492185304 53.57511149375237, -113.54125622351425 53.57667951373663, -113.54126433159611 53.57775170359049, -113.54124681020454 53.5792628641345, -113.54125172341722 53.580598344112374, -113.53772774376061 53.58061625515472, -113.53595683281674 53.58062588174844, -113.53417066374124 53.5806378678884, -113.53269946581891 53.5806427305833, -113.53121196022207 53.58095873211336)))"
3450,Woodcroft,"Woodcroft contains Westmount Shopping Centre, a shopping centre built in 1955 which was the first of its kind built in Edmonton.  On the west side of the neighbourhood lies Coronation Park, one of Edmonton's most beautiful parks (featuring outdoor lawn b","MULTIPOLYGON (((-113.56570359212803 53.569089215217865, -113.56580890235443 53.56933895842939, -113.56579181475908 53.570367676457806, -113.56137885746564 53.57031018168179, -113.55800123993961 53.570297480033226, -113.55633527461713 53.570293086888725, -113.55465131750475 53.5702914712347, -113.5512736256253 53.570276136015806, -113.54937917433148 53.57028113366326, -113.54945741196892 53.568433149402615, -113.54946863322395 53.56737733466625, -113.5494691364924 53.5668287981683, -113.54951729312084 53.566298911244054, -113.5496756698004 53.56593857022877, -113.550279464062 53.56521745275099, -113.55128597686402 53.564038788116385, -113.5514019595371 53.563814573989305, -113.55144932452137 53.563556284315084, -113.55144453204814 53.563242240651384, -113.55142167732258 53.5604949016144, -113.55139820578619 53.55892093317529, -113.55233669640057 53.558840524761685, -113.55551804369749 53.5588296562402, -113.56567644698806 53.55882317153472, -113.56580346434856 53.5593637673583, -113.56582726431876 53.560488925939886, -113.56585821129863 53.56288087859898, -113.56583761787617 53.56521789323824, -113.5657153063686 53.56580671578172, -113.56570359212803 53.569089215217865)))"
6400,Lee Ridge,"Lee Ridge, named for Robert Lee (Mayor of Edmonton, 1909 - 1910), is one of the 27 neighbourhoods of Mill Woods. Residential development in Lee Ridge began in 1972 and was complete by the end of the decade. The focus of the neighbourhood is a multiple pu","MULTIPOLYGON (((-113.43915335707504 53.47434024831978, -113.43914273775768 53.47386204519744, -113.43908597670655 53.47328508047398, -113.4389946332194 53.47266085890361, -113.43882136488389 53.47195704070795, -113.43866416859171 53.47147270461029, -113.43837266600086 53.470647718548804, -113.43721248019303 53.46812750383637, -113.43598937337465 53.46545209237702, -113.44240120407811 53.465090983350585, -113.44461881624399 53.464969745766204, -113.44625620074245 53.464911822592924, -113.4505512797981 53.46484569455535, -113.45048148500803 53.468292499331596, -113.45054787365135 53.46885263941422, -113.45071284094108 53.46939469463695, -113.45099403466132 53.46989840423005, -113.45145814418483 53.470397643401604, -113.45196400710323 53.470861636236684, -113.45260416112944 53.471283251317836, -113.45362952091887 53.47191435835281, -113.45171839119458 53.47298362204885, -113.45098032791692 53.473310304908345, -113.45029288254453 53.47355124108807, -113.4495563786884 53.47376229648084, -113.4484859289706 53.4739892632512, -113.44744172388181 53.47412628108439, -113.44643508526151 53.47418513030489, -113.43915335707504 53.47434024831978)))"
