Neighbourhood Number,Friendly Name,Description,geom
5430,Royal Gardens,"Royal Gardens is a mature suburban neighbourhood developed during the 1960s. The area features four schools as well as a large recreation area which serves students from surrounding
neighbourhoods. A wide range of retail services can be found in nearby","MULTIPOLYGON (((-113.52402846122715 53.475788313529115, -113.52604686474926 53.47595458484282, -113.52860074697196 53.47619073703932, -113.53026310839785 53.476293182867025, -113.53211778524725 53.476330574742576, -113.5350981213595 53.47633029406938, -113.53863730397673 53.47634067375951, -113.53874767963354 53.476601853732085, -113.53871853320626 53.47789468710314, -113.53884453517438 53.478376038906376, -113.53908374022691 53.478790729661284, -113.53995685549606 53.47952657482465, -113.54069085413927 53.48012768392739, -113.5410498258056 53.48073853178487, -113.5411735970576 53.481379639633374, -113.54119355009851 53.48304560085596, -113.51680958883705 53.483060974676434, -113.51624464006812 53.481053596300505, -113.51631182454102 53.478038315886465, -113.51633621760236 53.47577745619702, -113.52082678756005 53.47577916542703, -113.522979616559 53.47578101835431, -113.52402846122715 53.475788313529115)))"
6720,Tawa,"Tawa means ""you are welcome"" in the Cree language to honour Aboriginal leaders and history.  The Tawa neighbourhood represents the northern half of the Mill Woods Town Centre. Tawa¿s primary land use is institutional, and the Grey Nun¿s Hospital and a la","MULTIPOLYGON (((-113.42088326115434 53.46201572090078, -113.42089769462387 53.459312014054674, -113.42264458887988 53.45940809695617, -113.42436200205158 53.45942109920531, -113.4254933823592 53.45937363460774, -113.42619822829333 53.45928916814828, -113.4269861565931 53.459160006386455, -113.42870192871325 53.45878878793572, -113.4304545752779 53.458472773639635, -113.43175293282299 53.458385113320325, -113.43430310883937 53.458385393620574, -113.4342181558451 53.45990503297777, -113.4343155307109 53.461018483806946, -113.4345899113656 53.46213349716708, -113.43598937337465 53.46545209237702, -113.43201438908585 53.46548076618528, -113.42770916245769 53.465397927995156, -113.42448762841786 53.46530743126901, -113.4204171003079 53.465055117930724, -113.42066686842826 53.464242690426666, -113.42077729306911 53.46356854215882, -113.42088326115434 53.46201572090078)))"
6170,Davies Industrial West,This non-residential neighbourhood is largely commercial or industrial in nature.  Neighbourhood census data is not currently available.,"MULTIPOLYGON (((-113.45752280935108 53.49864407853234, -113.45745092566195 53.498675250393994, -113.45737940299699 53.498706716158146, -113.45730824473631 53.498738474338055, -113.45723745424291 53.49877052343323, -113.45716703486241 53.49880286192926, -113.4570969899229 53.4988354882983, -113.45702576352278 53.498868938303104, -113.45695483177114 53.49890261020944, -113.45688419661282 53.49893650309453, -113.45681385998454 53.498970616029396, -113.45674382381479 53.49900494807903, -113.456674090024 53.499039498302366, -113.45584162664171 53.49945580071002, -113.45550761194987 53.49962262608656, -113.45232966006816 53.501211048560336, -113.44876411988007 53.502994048555436, -113.44823570012346 53.50325812844644, -113.4433449871282 53.5057043460733, -113.44288760020622 53.50593296846745, -113.44271302647914 53.50601979659375, -113.4426899132946 53.50502770418839, -113.44269403365733 53.50149943714119, -113.4426882922125 53.49784255290117, -113.44389569022856 53.49755424852045, -113.44409291305291 53.49750615181888, -113.44428882657749 53.49745618910705, -113.44448338114572 53.497404373049655, -113.44467652744605 53.49735071678127, -113.44486821652441 53.497295233902605, -113.44505839979672 53.49723793847756, -113.44511455925114 53.49722052260311, -113.44522646055458 53.49718521671731, -113.44533779671285 53.49714928128765, -113.44545835471197 53.497109596591386, -113.44552325835893 53.49708789920425, -113.44558795868274 53.49706598700599, -113.44565245368379 53.49704386067383, -113.44571674136887 53.497021520891685, -113.44578081975119 53.496998968350084, -113.44590408917709 53.49695463244052, -113.4460265516455 53.49690950853847, -113.44614819299012 53.49686360186473, -113.44626899913992 53.49681691773063, -113.44638895612051 53.49676946153728, -113.44650805005602 53.49672123877543, -113.44661733325667 53.49667596935809, -113.44672585605852 53.496630054232256, -113.44683360773269 53.49658349793838, -113.4469405776265 53.496536305080085, -113.44704675516489 53.4964884803241, -113.4471521298511 53.49644002839958, -113.44724319842706 53.49639734534167, -113.44733364392141 53.49635419385003, -113.44742345955873 53.49631057715818, -113.44751263861083 53.49626649853433, -113.4476011743973 53.49622196128151, -113.44768906028601 53.49617696873685, -113.44778155656387 53.496128754032384, -113.44787330653729 53.496080035011566, -113.44796430247487 53.496030815781005, -113.44805453670887 53.49598110048952, -113.44814400163581 53.49593089332789, -113.44823268971719 53.495880198528006, -113.44831594070622 53.495831753671546, -113.44839848226721 53.49578287913377, -113.44848030816502 53.49573357860797, -113.44856141221872 53.49568385581978, -113.44864178830193 53.49563371452663, -113.44872143034343 53.49558315851757, -113.45357583983007 53.49247498869336, -113.45363542401691 53.49243722025462, -113.4536956496038 53.49239981538956, -113.45375651035178 53.492362777972, -113.45381799995612 53.492326111837805, -113.4538801120471 53.49228982078419, -113.45394284019055 53.49225390856968, -113.4539849493041 53.49223020650648, -113.4540273267758 53.49220667516733, -113.45406997065906 53.492183315632666, -113.45411287899518 53.492160128975414, -113.45415604981324 53.49213711626021, -113.4541994811303 53.492114278543994, -113.45430255202675 53.492061308098364, -113.45440702416307 53.49200932316572, -113.45451287104346 53.49195833692804, -113.45462006582383 53.491908362313666, -113.45472858131855 53.491859411994405, -113.45483839000742 53.49181149838255, -113.45489872916433 53.491785610343506, -113.45495944364947 53.49176003632411, -113.4550205288676 53.49173477825958, -113.4550819801954 53.49170983806148, -113.45514379298193 53.491685217617025, -113.4552059625489 53.49166091878952, -113.45552004572019 53.49154628044899, -113.45584211787009 53.491439817829836, -113.45617158097971 53.49134172859207, -113.45650782332127 53.49125219484863, -113.45685022059278 53.491171382827076, -113.45719813707659 53.491099442561556, -113.45725721678495 53.49108819829874, -113.4573164317478 53.4910772100147, -113.457375778847 53.491066478287976, -113.4574352549574 53.491056003683774, -113.4574948569471 53.49104578675357, -113.45755458167756 53.491035828035464, -113.45792676464507 53.49097996771425, -113.45830277740347 53.49093412939226, -113.4586818616419 53.490898405512034, -113.45906325286181 53.490872868118004, -113.45944618191702 53.49085756871168, -113.45982987656333 53.490852538147806, -113.4639390764922 53.490854337428324, -113.46424080898454 53.490853850995805, -113.46678337438547 53.490854250316495, -113.46715577414908 53.4908545577252, -113.46715825669463 53.490951414874324, -113.46719064610316 53.49391382121918, -113.46718075979028 53.496779309587495, -113.46731766739421 53.496914604775114, -113.46731383339886 53.49718503063661, -113.46718257928713 53.49718378855022, -113.46681421137819 53.497184907553354, -113.46557318962081 53.497186828371156, -113.46426803958515 53.49718919863174, -113.46426806913932 53.49720102843234, -113.46417681708259 53.497204940270755, -113.46409173937465 53.497208908513635, -113.46385269831794 53.49722170883263, -113.46361405892733 53.49723694299564, -113.4633758908812 53.49725460655461, -113.46313826372048 53.49727469435194, -113.4629012468285 53.4972972005222, -113.46266490941066 53.49732211849402, -113.4621417430244 53.497385585686956, -113.46192270931323 53.49741565743003, -113.4617050430122 53.49744907372555, -113.4614888877202 53.49748581252842, -113.46127438604026 53.497525849601786, -113.46106167948578 53.49756915853249, -113.46073105211224 53.497635543268935, -113.46040381947368 53.497707661766434, -113.4600802611487 53.49778545241239, -113.45976065358118 53.49786884874785, -113.4594452698445 53.49795777952455, -113.45913437940831 53.49805216876548, -113.45902598116989 53.498087083626004, -113.45891786958899 53.498122313163506, -113.45881004723488 53.498157856540956, -113.45870251666996 53.4981937129139, -113.45859528044971 53.49822988143041, -113.45848834112267 53.4982663612312, -113.45841144496143 53.498293796325136, -113.45833486948656 53.49832154853292, -113.45819672668763 53.4983727511064, -113.45805967492218 53.49842498583277, -113.45792373588087 53.49847824444626, -113.45778893107857 53.49853251851945, -113.45765528185095 53.49858779946404, -113.45752280935108 53.49864407853234)))"
3160,Dominion Industrial,This non-residential neighbourhood is largely commercial or industrial in nature.  Neighbourhood census data is not currently available.,"MULTIPOLYGON (((-113.56756124962973 53.581236126261416, -113.56580225104662 53.581176899075906, -113.56569969616845 53.58072224899512, -113.56569036623077 53.57897262477567, -113.5656855331104 53.57832610471757, -113.56570161863763 53.57675700443746, -113.5656912000227 53.57354596590893, -113.56571336234198 53.571968539587516, -113.56581375257319 53.57155907644146, -113.56579181475908 53.570367676457806, -113.57115413951097 53.5704091400899, -113.5780178883529 53.570418720690135, -113.57799126785 53.57157417794689, -113.57801073178261 53.573551018630575, -113.57800115461853 53.57676447378749, -113.5779820883903 53.578996791253836, -113.57795588305942 53.58129191111554, -113.56756124962973 53.581236126261416)))"
4300,McNamara Industrial,This non-residential neighbourhood is largely commercial or industrial in nature.  Neighbourhood census data is not currently available.,"MULTIPOLYGON (((-113.62732732537224 53.55597342408237, -113.62732492383047 53.55805909779599, -113.62730868345778 53.55954500732643, -113.62147023836188 53.55954809718159, -113.6152364418139 53.55952331705913, -113.61521934883238 53.55782554406072, -113.61522759100018 53.55596213202998, -113.61519627601571 53.55324972159577, -113.61518260612797 53.548936254373814, -113.61518371552405 53.54863122496087, -113.61787185981905 53.54863037500893, -113.62038922647817 53.54861930413926, -113.62390332610599 53.548608205239155, -113.62740312400697 53.548613292192165, -113.62738098860558 53.550019065207486, -113.62736806625618 53.55145319972077, -113.62735812824853 53.55327137430936, -113.62732732537224 53.55597342408237)))"
4130,Edmiston Industrial,This non-residential neighbourhood is largely commercial or industrial in nature.  Neighbourhood census data is not currently available.,"MULTIPOLYGON (((-113.62531883992001 53.570998138402665, -113.62531940585959 53.570543373328114, -113.62531999790183 53.57042913486505, -113.62728477412027 53.570426155272344, -113.62730473654796 53.565341490521874, -113.6273034390009 53.56321745788373, -113.62730868345778 53.559545007326356, -113.63032178223801 53.559538291907444, -113.63600157004808 53.55954863033891, -113.63962425715481 53.559558871895945, -113.63961292485389 53.561407769354666, -113.639599609222 53.56320377639168, -113.64011172900429 53.568144023243256, -113.63958474721402 53.5696106991158, -113.6395887200798 53.57044655565615, -113.64017486699443 53.57044846416806, -113.6395241747755 53.57273573420969, -113.63133314378985 53.57203027774744, -113.62993136036744 53.57190743836919, -113.6264113173133 53.571610593571265, -113.62532018719264 53.571523046558056, -113.62531883992001 53.570998138402665)))"
2270,Evergreen,"Evergreen is a mobile home park is nested in a beautiful, naturally wooded ravine in north east Edmonton.  Today, the park is a thriving community with approximately 1500 people and 640 homes.  Established around 1970, most of the growth in the park occu","MULTIPOLYGON (((-113.35655742353303 53.628627692866154, -113.35663529510504 53.628719142385506, -113.3566336997267 53.63509838856763, -113.35659136023612 53.63506640866511, -113.35637888936452 53.635163764362524, -113.35490460695748 53.63581895162886, -113.35503598997752 53.635923278620304, -113.34484540286118 53.635948225569265, -113.34448991865308 53.63594839635949, -113.34432805897818 53.635948318550696, -113.34433789125129 53.62860613650149, -113.35064260212914 53.628623071861476, -113.35655742353303 53.628627692866154)))"
4600,West Sheffield Industrial,This non-residential neighbourhood is largely commercial or industrial in nature.  Neighbourhood census data is not currently available.,"MULTIPOLYGON (((-113.61521771373265 53.561352850854384, -113.6152404814434 53.56303463137937, -113.61061598321163 53.563031519767065, -113.60644525026798 53.5630367675291, -113.60277606393115 53.56303164440834, -113.60279313296655 53.56079411283645, -113.60287109431829 53.55908493371061, -113.60243878472824 53.558565133064214, -113.60321487204631 53.55820201352761, -113.60379371174722 53.55774386248002, -113.60517306486962 53.55594869911078, -113.60823014145173 53.555961924382025, -113.61522759100018 53.55596213202998, -113.61521934883238 53.55782554406072, -113.6152364418139 53.55952331705913, -113.61521771373265 53.561352850854384)))"
4640,Wilson Industrial,This non-residential neighbourhood is largely commercial or industrial in nature.  Neighbourhood census data is not currently available.,"MULTIPOLYGON (((-113.63962425715481 53.559558871895945, -113.63600157004808 53.55954863033891, -113.63032178223801 53.559538291907444, -113.62730868345778 53.559545007326356, -113.62732492383047 53.55805909779599, -113.62732732537224 53.55597342408237, -113.62735812824853 53.55327137430936, -113.62736806625618 53.55145319972077, -113.62738098860558 53.550019065207486, -113.62740312400697 53.548613292192165, -113.63278103782272 53.5486105762891, -113.63616135232509 53.548601874778164, -113.63982986693568 53.54859586121097, -113.63972374287957 53.55327026814137, -113.63962554038305 53.55590653333373, -113.63962425715481 53.559558871895945)))"
4030,Armstrong Industrial,This non-residential neighbourhood is largely commercial or industrial in nature.  Neighbourhood census data is not currently available.,"MULTIPOLYGON (((-113.62532018719264 53.571523046558056, -113.62229800543474 53.571975377811675, -113.61529646965522 53.573353558575924, -113.6152576256273 53.57044388868263, -113.6152336769672 53.56744127976407, -113.6152404814434 53.56303463137937, -113.61521771373265 53.561352850854384, -113.6152364418139 53.55952331705913, -113.62147023836188 53.55954809718159, -113.62730868345778 53.559545007326356, -113.6273034390009 53.56321745788373, -113.62730473654796 53.565341490521874, -113.62728477412027 53.570426155272344, -113.62531999790183 53.57042913486505, -113.62531940585959 53.570543373328114, -113.62531883992001 53.570998138402665, -113.62532018719264 53.571523046558056)))"
4330,Mitchell Industrial,This non-residential neighbourhood is largely commercial or industrial in nature.  Neighbourhood census data is not currently available.,"MULTIPOLYGON (((-113.57799126785 53.57157417794689, -113.5780178883529 53.570418720690135, -113.58113862640751 53.57041308442408, -113.58357405589769 53.57043283279648, -113.58724630226418 53.57041134827284, -113.5904110297295 53.57041887829916, -113.59039579074049 53.573562301006916, -113.59037009670908 53.57762020612294, -113.58942712637828 53.577615398012625, -113.58899235156821 53.57754345152763, -113.5886046695574 53.57741127653572, -113.58806748266268 53.57700180329455, -113.58780668765425 53.576865030104045, -113.58746923311233 53.57678586470568, -113.58728651946804 53.5767655286853, -113.58712310758722 53.57676647075393, -113.58435067354121 53.57676682402091, -113.57800115461853 53.57676447378749, -113.57801073178261 53.573551018630575, -113.57799126785 53.57157417794689)))"
6430,McIntyre Industrial,This non-residential neighbourhood is largely commercial or industrial in nature.  Neighbourhood census data is not currently available.,"MULTIPOLYGON (((-113.4664666898483 53.48283958624898, -113.46664092613113 53.48523297035623, -113.46674854416423 53.486034364928436, -113.46703608609967 53.488080215445876, -113.46708431480391 53.48825023862249, -113.46712039046109 53.488458020712535, -113.46713792245161 53.48860228029175, -113.46715465948516 53.48880997614134, -113.46715518974946 53.490442849576, -113.46729393268737 53.49058221828001, -113.46730137182008 53.49084866463161, -113.46715825669463 53.490951414874324, -113.46715577414908 53.4908545577252, -113.46678337438547 53.490854250316495, -113.46424080898454 53.490853850995805, -113.4639390764922 53.490854337428324, -113.45982987656333 53.490852538147806, -113.45944618191702 53.49085756871168, -113.45906325286181 53.490872868118004, -113.4586818616419 53.490898405512034, -113.45830277740347 53.49093412939226, -113.45792676464507 53.49097996771425, -113.45755458167756 53.491035828035464, -113.4574948569471 53.49104578675357, -113.4574352549574 53.491056003683774, -113.457375778847 53.491066478287976, -113.4573164317478 53.4910772100147, -113.45725721678495 53.49108819829874, -113.45719813707659 53.491099442561556, -113.45685022059278 53.491171382827076, -113.45650782332125 53.49125219484863, -113.45617158097971 53.49134172859207, -113.45584211787009 53.491439817829836, -113.45552004572019 53.49154628044899, -113.4552059625489 53.49166091878952, -113.4551437929734 53.49168521762039, -113.45511284168532 53.49169748775811, -113.45505120903668 53.49172226831733, -113.45502052884231 53.49173477826999, -113.45495944363272 53.49176003633113, -113.45489872915601 53.49178561034706, -113.45483839000742 53.49181149838255, -113.45472858131855 53.491859411994405, -113.45462006582383 53.491908362313666, -113.45451287104346 53.49195833692804, -113.45440702416307 53.49200932316572, -113.45430255202675 53.492061308098364, -113.4541994811303 53.492114278543994, -113.45415604981324 53.49213711626021, -113.45411287899518 53.492160128975414, -113.45406997065906 53.492183315632666, -113.4540273267758 53.49220667516733, -113.4539849493041 53.49223020650648, -113.45394284019055 53.49225390856968, -113.4538801120471 53.49228982078419, -113.45381799995612 53.492326111837805, -113.45375651035178 53.492362777972, -113.4536956496038 53.49239981538956, -113.45363542401691 53.49243722025462, -113.45357583983007 53.49247498869336, -113.44872143034343 53.49558315851757, -113.44864178830193 53.49563371452663, -113.44856141221872 53.49568385581978, -113.44848030816502 53.49573357860797, -113.44839848226721 53.49578287913377, -113.44831594070622 53.495831753671546, -113.44823268971719 53.495880198528006, -113.44814400163581 53.49593089332789, -113.44805453670887 53.49598110048952, -113.44796430247487 53.496030815781005, -113.44787330653729 53.496080035011566, -113.44778155656387 53.496128754032384, -113.44768906028601 53.49617696873685, -113.4476011743973 53.49622196128151, -113.44751263861083 53.49626649853433, -113.44742345955873 53.49631057715818, -113.44733364392141 53.49635419385003, -113.44724319842706 53.49639734534167, -113.4471521298511 53.49644002839958, -113.44704675516489 53.4964884803241, -113.4469405776265 53.496536305080085, -113.44683360773269 53.49658349793838, -113.44672585605852 53.496630054232256, -113.44661733325667 53.49667596935809, -113.44650805005602 53.49672123877543, -113.44638895612051 53.49676946153728, -113.44626899913992 53.49681691773063, -113.44614819299012 53.49686360186473, -113.4460265516455 53.49690950853847, -113.44590408917709 53.49695463244052, -113.44578081975119 53.496998968350084, -113.44571674136887 53.497021520891685, -113.44565245368379 53.49704386067383, -113.44558795868274 53.49706598700599, -113.44552325835893 53.49708789920425, -113.44545835471197 53.497109596591386, -113.44533779671286 53.49714928128765, -113.44522646055458 53.49718521671731, -113.44511455925114 53.49722052260311, -113.44505839979672 53.49723793847756, -113.44486821652441 53.497295233902605, -113.44467652744605 53.49735071678127, -113.44448338114572 53.497404373049655, -113.44428882657749 53.49745618910705, -113.44409291305291 53.49750615181888, -113.44389569022856 53.49755424852045, -113.4426882922125 53.49784255290117, -113.44268368577558 53.49490917256314, -113.44267526871968 53.49267835174699, -113.44267367732976 53.49044241062165, -113.44266793862687 53.48801812892898, -113.44266165276005 53.48497082465637, -113.45112963121258 53.484944844204975, -113.45327380565708 53.48482467153458, -113.45676452552104 53.48442896451532, -113.46131305915496 53.48374302211685, -113.4664666898483 53.48283958624898)))"
4660,Youngstown Industrial,"Mostly Industrial, River Valley Parkland or completley non residential in nature.  Neighbourhood Census Data is not available at this time.","MULTIPOLYGON (((-113.60517306486962 53.55594869911078, -113.6084168381829 53.55194049542689, -113.61099423066291 53.5484380500321, -113.61266655987828 53.546320590165855, -113.61387272569795 53.54497547654876, -113.61491771166096 53.54379066937232, -113.61542618177275 53.54349632384036, -113.61588011220162 53.544036363527404, -113.61600384949656 53.54438773465226, -113.61599207405578 53.544771174438594, -113.61585754595693 53.54524305207959, -113.61553706760014 53.5463155301308, -113.6152237577354 53.54737382815191, -113.61518371552405 53.54863122496087, -113.61518260612797 53.5489362543739, -113.61519627601571 53.55324972159577, -113.61522759100018 53.55596213202998, -113.60823014145173 53.555961924382025, -113.60517306486962 53.55594869911078)))"
3240,Inglewood,"The name Inglewood was used on a 1905 plan of subdivision and is now applied to the neighbourhood.  Inglewood's growth started after World War II and was originally called West Inglewood and located on land owned, in 1882, by J. Norris Sr. and R. Logan.","MULTIPOLYGON (((-113.54791633587551 53.55889508120877, -113.5495885364319 53.55891772714637, -113.55139820578619 53.55892093317529, -113.55142167732258 53.5604949016144, -113.55144453204814 53.563242240651384, -113.55144932452137 53.563556284315084, -113.5514019595371 53.563814573989305, -113.55128597686402 53.564038788116385, -113.550279464062 53.56521745275099, -113.5496756698004 53.56593857022877, -113.54951729312084 53.566298911244054, -113.5494691364924 53.5668287981683, -113.54946863322395 53.56737733466625, -113.54945741196892 53.568433149402615, -113.54937917433148 53.57028113366326, -113.54622449987944 53.570316943245224, -113.54452557538174 53.570315348915805, -113.54119386080883 53.57031458986699, -113.53949078626427 53.57031698988309, -113.53770876098066 53.57031975982802, -113.53591344749262 53.57031217223154, -113.53415356859969 53.5703141722331, -113.5324720397749 53.570315130499004, -113.5309477870182 53.57031399253187, -113.53091258785305 53.57013878761887, -113.53090708042578 53.56597281324091, -113.53089654137493 53.56232733775923, -113.53089868175125 53.55889317410196, -113.53244120093619 53.55890136333976, -113.53414020893261 53.558899448564844, -113.53591955228295 53.558899530134454, -113.53769799210953 53.55890152861247, -113.53946385341095 53.55890297601821, -113.541175726545 53.55889526676517, -113.54285813034033 53.55889847689742, -113.5445351769427 53.55889518013956, -113.54791633587551 53.55889508120877)))"
2030,Bannerman,"Named for H. Bannerman, who settled in the Belmont area in 1883, this area is part of the
Clareview district and was annexed to the City, along with much of northeast Edmonton, in the
early 1960s. Easy LIGHT RAPID TRANSIT access to Edmonton's commercia","MULTIPOLYGON (((-113.38600096564676 53.60271396010162, -113.38564846148975 53.6037424075908, -113.3850504136939 53.60474144552968, -113.38287573986054 53.60826870065952, -113.37787217568146 53.60780425106431, -113.37667503923278 53.60765033824639, -113.375763989814 53.60747428008745, -113.37517592485675 53.607327660782275, -113.37457037935197 53.60715941036201, -113.37232087790507 53.60627158299893, -113.37185134901387 53.60612305782958, -113.37139205875833 53.60605232291244, -113.37090162833654 53.60606696829808, -113.37035604644691 53.606142430386626, -113.37022746430605 53.605900156669655, -113.37017825734749 53.605742774581884, -113.37019348089996 53.60558573156175, -113.37029337525158 53.6053678177406, -113.3718498337896 53.60382392730084, -113.37358753305442 53.60195018510467, -113.37432565133598 53.60123507693766, -113.37494229449939 53.60067659457907, -113.3754947361699 53.600289234555994, -113.37601450720737 53.600057076680145, -113.37636844855217 53.59994918040159, -113.37678386117342 53.59986138043273, -113.37734601163902 53.59980369648584, -113.37852895705204 53.599711947809396, -113.37933551637319 53.59966776310161, -113.38313608131531 53.599630657499226, -113.38613481668355 53.59964816912378, -113.38611006708594 53.60194324141454, -113.38600096564676 53.60271396010162)))"
2050,Belle Rive,,"MULTIPOLYGON (((-113.47969920634817 53.618592672459975, -113.47969869948996 53.619868359478936, -113.47926210006305 53.62027285050945, -113.47964839419436 53.62052550303076, -113.47939369613437 53.620753356015705, -113.47934436242602 53.62083772137795, -113.47967650955712 53.62092170163695, -113.47978331205167 53.62093194621785, -113.47975445864755 53.62102311384599, -113.47964258026451 53.621337643375796, -113.47969848518755 53.621337364842205, -113.47969792991216 53.62855862937767, -113.4796945063206 53.62874166612704, -113.47735883474286 53.62873622490201, -113.47369582349799 53.6287267998099, -113.47051242693175 53.62873086156664, -113.46741352151228 53.628697971451416, -113.46741641712809 53.625408159407606, -113.46741894571238 53.623630453112725, -113.4674096716157 53.62078836906612, -113.4674204545053 53.61591375444001, -113.4731808787134 53.61590027235317, -113.4744820422431 53.6158162210957, -113.47623664663439 53.61561158319339, -113.47970029870794 53.6152271386194, -113.47970001798812 53.61627010803377, -113.47974466672855 53.61629536868721, -113.47974337043834 53.61668063940394, -113.47969983166735 53.61677769562828, -113.47969920634817 53.618592672459975)))"
5460,Skyrattler,"Skyrattler was Chief of the Winterburn band when Edmonton attained city status in 1904. With the exception of the 10.5 hectare site of the Baptist Seminary College, built starting in 1967, the area was undeveloped until the 1970s. Skyrattler is dominated","MULTIPOLYGON (((-113.53047762913612 53.45189005862423, -113.53055571949724 53.45184967839427, -113.53112623928202 53.45224300855979, -113.53224732926093 53.45257293847203, -113.53424336333727 53.45195172652433, -113.53403542395823 53.45248179991869, -113.533973615513 53.452921894679704, -113.5339963334469 53.453341792678586, -113.53401607784548 53.453969070417905, -113.53047338866918 53.4539801792264, -113.52553290112579 53.45397780063877, -113.516449068725 53.453947717935606, -113.5164010817857 53.44878579695504, -113.51637484212091 53.44668038196016, -113.5175955993773 53.446679808544665, -113.51754557941985 53.446753078361, -113.51791461934398 53.44704455867277, -113.51935377936935 53.44744971842709, -113.52025688941512 53.44752363858212, -113.52127384930151 53.447909318544276, -113.5211969741377 53.447985356601414, -113.52336026945231 53.44856180392299, -113.5236571386278 53.44859403932198, -113.52443632996076 53.4485785894861, -113.52503156449998 53.448722112116705, -113.52566189578107 53.44901751038352, -113.52566068591277 53.4489195118863, -113.52568424297779 53.44893114521123, -113.52568357931219 53.44881751841175, -113.526667207885 53.44909600693468, -113.52760108248071 53.44873663061841, -113.52871562614963 53.449622529762024, -113.52871676092862 53.449818875297396, -113.5289079408506 53.44995146527234, -113.52900788270279 53.450024383347845, -113.52910156987555 53.45010020302447, -113.52918876633102 53.45017873330749, -113.52926925237817 53.450259776373294, -113.52934282522648 53.450343128067026, -113.52940929949713 53.45042857841694, -113.5304054294727 53.45178107836676, -113.53041841219908 53.45179901212371, -113.53043101772214 53.451817041511845, -113.53044324406494 53.451835163704374, -113.53045508931002 53.451853375859926, -113.53046655159964 53.45187167512289, -113.53047762913612 53.45189005862423)))"
6030,Bisset,"Bisset is named for Judge Athelstan Bisset, Q.C. Like all of the 27 neighbourhoods of Mill Woods, Bisset's design objective is to provide for an efficient flow of traffic while minimizing its disruptive and hazardous effects. A number of strategically pl","MULTIPOLYGON (((-113.39890682246195 53.46368845681636, -113.39384774927423 53.46348267798034, -113.39387325883534 53.45923434677511, -113.39379552513623 53.45383634001552, -113.39507759611328 53.45378404996013, -113.39625496943226 53.45379000522424, -113.39751529846978 53.45385502415074, -113.39913403017634 53.454050056572115, -113.40568196813119 53.45504416754915, -113.40680415416755 53.455194056700094, -113.40786671000251 53.455285914807575, -113.4090823430119 53.455358155927286, -113.40900788972885 53.456195369617674, -113.40884976728847 53.456827461916056, -113.40863812125644 53.4573701518114, -113.40845627361867 53.4576882804584, -113.40800241145791 53.45830106130293, -113.4073378864096 53.45902870014445, -113.40700894100813 53.45946070785984, -113.40670329853467 53.460049891486264, -113.40641823036486 53.4607262843739, -113.40629873249544 53.461239675548505, -113.40628376699046 53.461682964211406, -113.40634153202289 53.46238832067903, -113.40672022770497 53.464026938972694, -113.39890682246195 53.46368845681636)))"
4340,Morin Industrial,This non-residential neighbourhood is largely commercial or industrial in nature.  Neighbourhood census data is not currently available.,"MULTIPOLYGON (((-113.62740794616349 53.54331453897132, -113.62740681985393 53.54132742599164, -113.63099467150445 53.541321841621716, -113.63275757160378 53.54131277354666, -113.63629343827618 53.54128499809912, -113.63977684657927 53.54122810824785, -113.63978109702956 53.54330432890286, -113.63983116838777 53.54649900107082, -113.63982986693568 53.54859586121097, -113.63616135232509 53.548601874778164, -113.63278103782272 53.5486105762891, -113.62740312400697 53.548613292192165, -113.62740324959185 53.54527746198482, -113.62740794616349 53.54331453897132)))"
6570,Parsons Industrial,This non-residential neighbourhood is largely commercial or industrial in nature.  Neighbourhood census data is not currently available.,"MULTIPOLYGON (((-113.49190135242354 53.46346040014724, -113.49187133677034 53.46455338232594, -113.49204294688433 53.46522436973587, -113.49206420934249 53.467738529197625, -113.48604203384225 53.467695644899926, -113.48334968731115 53.46768979450114, -113.48221985352014 53.467639430037856, -113.48120525509403 53.467513764792, -113.4795807644084 53.46723241586151, -113.47855707870505 53.466986863366, -113.4750094311994 53.4658796067083, -113.47402660364725 53.465640674580804, -113.47289021960495 53.46545012278555, -113.4715752172342 53.46533780194229, -113.47014649015367 53.46527322560557, -113.46649569323668 53.465316017694676, -113.46644188169411 53.46269696971498, -113.46634962514517 53.45886111522864, -113.46640082496421 53.45185225259078, -113.47299530985967 53.45196070317815, -113.47385104158553 53.45200039997219, -113.47520012818856 53.452151052140245, -113.4767765318506 53.45243018087679, -113.4791316057995 53.45296545681292, -113.48161691417425 53.453524139240834, -113.48291930096602 53.4537307430352, -113.48444394542075 53.45386726652094, -113.48599235022697 53.45392321616691, -113.48961941481144 53.45386174125648, -113.49035518060468 53.45388631360794, -113.49134137604509 53.45398695863318, -113.49252496641842 53.45399205750563, -113.49237134028589 53.4606763866927, -113.49203461336252 53.461346393963524, -113.49193238741321 53.461776396414635, -113.49190135242354 53.46346040014724)))"
