ID,Playground Number,Name,Address,Type,Surface Type,Accessibility,Owner,Maintainer,Redevelopment Date,Latitude,Longitude,Location,Geometry Point,Neighbourhood ID,Neighbourhood Name,park_type,User Category
597,123,Bonnie Doon Park,9263 94 Street NW,Playground,"Pour In Place Rubber, Sand",Wheelchair Accessible,,Parks,2011/12/31,53.52768,-113.470579,"(53.52768000101271, -113.47057872706597)",POINT (-113.47057872706597 53.52768000101271),6040,BONNIE DOON,play,Junior (18 months to 5 years)
339,583,King Edward School,8530 101 Street NW,Playground,Sand,Unknown,,Parks,1992/12/31,53.521372,-113.492484,"(53.521372103614674, -113.4924838134556)",POINT (-113.4924838134556 53.521372103614674),5480,STRATHCONA,play,Junior (18 months to 5 years)
394,388,Sheriff Robertson Park,7707 112 Avenue NW,Playground,Pour In Place Rubber,Wheelchair Accessible,,Parks,2000/12/31,53.559097,-113.466354,"(53.55909735995556, -113.46635363350914)",POINT (-113.46635363350914 53.55909735995556),1190,RIVER VALLEY KINNAIRD,play,Junior (18 months to 5 years)
787,3657,Strathearn Park,87 Street NW and 93 Avenue NW,Playground,Engineered Wood Fibre,Wheelchair Accessible,,Parks,2018/12/31,53.529528,-113.461215,"(53.529527852204204, -113.46121453276993)",POINT (-113.46121453276993 53.529527852204204),6710,STRATHEARN,play,Senior (6 to 12 years)
871,3676,Walker Park,1438 Watt Drive,Playground,Pour In Place Rubber,Wheelchair Accessible,,Parks,2014/12/31,53.414277,-113.436734,"(53.41427689067562, -113.43673356488397)",POINT (-113.43673356488397 53.41427689067562),6662,WALKER,play,Unknown
497,320,Queen Alexandra Community League,10722 - 73 AVENUE NW,Playground,"Pour In Place Rubber, Sand",Wheelchair Accessible,,Parks,2016/12/31,53.509695,-113.508243,"(53.50969526847755, -113.50824316931538)",POINT (-113.50824316931538 53.50969526847755),5330,QUEEN ALEXANDRA,play,Junior/Senior (18 months to 12 years)
376,3687,Hills at Charlesworth,345 Charlesworth Drive SW,Playground,Engineered Wood Fibre,Wheelchair Accessible,,Parks,2016/12/31,53.427004,-113.399107,"(53.42700427817525, -113.39910685016275)",POINT (-113.39910685016275 53.42700427817525),6661,CHARLESWORTH,play,Junior/Senior (18 months to 12 years)
747,131,Gallagher Park,9750 98 Avenue NW,Playground,Sand,Unknown,,Parks,1998/12/31,53.535953,-113.472532,"(53.53595323293015, -113.47253153392614)",POINT (-113.47253153392614 53.53595323293015),6070,CLOVERDALE,play,Senior (6 to 12 years)
712,157,Capilano School,10720 54 Street NW,Playground,"Pour In Place Rubber, Sand",Wheelchair Accessible,,Parks,2014/12/31,53.555882,-113.422029,"(53.55588200078857, -113.42202926001286)",POINT (-113.42202926001286 53.55588200078857),6061,CAPILANO,play,Senior (6 to 12 years)
312,141,Lee Ridge School,440 Millbourne Road East NW,Playground,"Pour In Place Rubber, Sand",Wheelchair Accessible,,Parks,1992/12/31,53.471164,-113.446166,"(53.471164135539205, -113.44616598292009)",POINT (-113.44616598292009 53.471164135539205),6400,LEE RIDGE,play,Senior (6 to 12 years)
