ID,Playground Number,Name,Address,Type,Surface Type,Accessibility,Owner,Maintainer,Redevelopment Date,Latitude,Longitude,Location,Geometry Point,Neighbourhood ID,Neighbourhood Name
548843,3670,Meadows Splash Pad,2303 17 Street NW,Spray Park,Concrete,Wheelchair Accessible,Parks,Parks,2016/04/26,53.45793735427291,-113.37211462631954,"(53.45793735427291, -113.37211462631954)",POINT (-113.37211462631954 53.45793735427291),6442,SILVER BERRY
12641,2325,Avonmore Spray,7316 - 78 STREET NW,Spray Deck,Pour In Place Rubber,Wheelchair Accessible,Parks,Parks,2013/12/31,53.51018983168643,-113.44841054504887,"(53.51018983168643, -113.44841054504887)",POINT (-113.44841054504887 53.51018983168643),6020,AVONMORE
12637,2300,McKernan Spray Park,7535 - 112 STREET NW,Spray Deck,Pour In Place Rubber,Wheelchair Accessible,Parks,Parks,2012/09/01,53.511286528464865,-113.5192651896121,"(53.511286528464865, -113.5192651896121)",POINT (-113.5192651896121 53.511286528464865),5290,MCKERNAN
815300,3726,Poplar Park Spray Park,16410 82 Street NW,Spray Park,Concrete,Wheelchair Accessible,Parks,Parks,2019/11/01,53.626446951965356,-113.47316243153034,"(53.626446951965356, -113.47316243153034)",POINT (-113.47316243153034 53.626446951965356),2050,BELLE RIVE
12380,749,Beverly Jubilee Spray Park,4203 120 Avenue NW,Spray Deck,Concrete,Wheelchair Accessible,Parks,Parks,2013/09/01,53.57448972374192,-113.40713867606607,"(53.57448972374192, -113.40713867606607)",POINT (-113.40713867606607 53.57448972374192),2040,BEACON HEIGHTS
12227,2760,Giovanni Caboto Spray Park,9403 109A Avenue NW,Spray Deck,Concrete,Wheelchair Accessible,Parks,Parks,2004/09/01,53.556190801134456,-113.48415395132689,"(53.556190801134456, -113.48415395132689)",POINT (-113.48415395132689 53.556190801134456),1140,MCCAULEY
12363,735,Gold Bar Spray Park,4620 - 105 AVENUE NW,Spray Deck,Pour In Place Rubber,Wheelchair Accessible,Parks,Parks,2009/09/01,53.54849945438565,-113.41382565355711,"(53.54849945438565, -113.41382565355711)",POINT (-113.41382565355711 53.54849945438565),6270,GOLD BAR
12591,3466,Jackie Parker Spray,4540 - 50 STREET NW,Spray Park,Concrete,Wheelchair Accessible,Parks,Parks,2009/12/31,53.48440191313824,-113.4237048558519,"(53.48440191313824, -113.4237048558519)",POINT (-113.4237048558519 53.48440191313824),6500,MILL WOODS GOLF COURSE
12362,732,Fulton Place Spray,Fulton Drive and 62 Street NW,Spray Deck,Pour In Place Rubber,Wheelchair Accessible,Parks,Parks,2008/09/01,53.546259754153766,-113.42570270208327,"(53.546259754153766, -113.42570270208327)",POINT (-113.42570270208327 53.546259754153766),6240,FULTON PLACE
12626,3480,Hudson Park Spray,13625 - CUMBERLAND ROAD NW,Spray Deck,Pour In Place Rubber,Wheelchair Accessible,Parks,Parks,2010/09/01,53.6077595720154,-113.55652326061141,"(53.6077595720154, -113.55652326061141)",POINT (-113.55652326061141 53.6077595720154),3480,HUDSON
551875,3673,Monsignor Walter Fitzgerald Spray Park,7146 - 180 Street NW,Spray Deck,Concrete,Wheelchair Accessible,Parks,Parks,2015/09/01,53.50583974047835,-113.63527420947156,"(53.50583974047835, -113.63527420947156)",POINT (-113.63527420947156 53.50583974047835),4270,LYMBURN
508044,3629,Zoie Gardner Spray Park,12710 70 Street NW,Spray Deck,Concrete,Wheelchair Accessible,Parks,Parks,2012/09/01,53.58562106135462,-113.4501813156935,"(53.58562106135462, -113.4501813156935)",POINT (-113.4501813156935 53.58562106135462),2020,BALWIN
12499,623,Castle Downs Spray,11520 - 153 AVENUE NW T5X6A3,Spray Deck,Pour In Place Rubber,Wheelchair Accessible,Parks,Parks,2010/09/01,53.61692064038161,-113.52548569952654,"(53.61692064038161, -113.52548569952654)",POINT (-113.52548569952654 53.61692064038161),3180,DUNLUCE
12348,682,Westglen Spray Park,12840 109 Avenue NW,Spray Deck,Concrete,Wheelchair Accessible,Parks,Parks,2008/09/01,53.55501020825167,-113.54416567452208,"(53.55501020825167, -113.54416567452208)",POINT (-113.54416567452208 53.55501020825167),3440,WESTMOUNT
12358,727,Ritchie Spray Park,7727 - 98 STREET NW T6E5C9,Spray Deck,Pour In Place Rubber,Wheelchair Accessible,Parks,Parks,2010/12/31,53.513931446636015,-113.48198823905469,"(53.513931446636015, -113.48198823905469)",POINT (-113.48198823905469 53.513931446636015),6610,RITCHIE
450884,3466,Jackie Parker Spray,4540 - 50 STREET NW,Spray Park,Pour In Place Rubber,Wheelchair Accessible,Parks,Parks,2009/12/31,53.48430386567267,-113.42389672743907,"(53.48430386567267, -113.42389672743907)",POINT (-113.42389672743907 53.48430386567267),6500,MILL WOODS GOLF COURSE
12232,2784,Dovercourt Spray,12320 - DOVERCOURT AVENUE NW,Spray Deck,Pour In Place Rubber,Wheelchair Accessible,Parks,Parks,2004/09/01,53.575897347365185,-113.55940273112151,"(53.575897347365185, -113.55940273112151)",POINT (-113.55940273112151 53.575897347365185),3170,DOVERCOURT
12374,746,Silver Heights Spray,8777 - 96 AVENUE NW T6C2B1,Spray Deck,Pour In Place Rubber,Wheelchair Accessible,Parks,Parks,2010/05/01,53.53280561955428,-113.46480470963465,"(53.53280561955428, -113.46480470963465)",POINT (-113.46480470963465 53.53280561955428),6710,STRATHEARN
12640,2324,Glenora Spray Park,10410 - 136 STREET NW,Spray Deck,Concrete,Wheelchair Accessible,Parks,Parks,2010/09/01,53.54673876395495,-113.55684624522345,"(53.54673876395495, -113.55684624522345)",POINT (-113.55684624522345 53.54673876395495),3200,GLENORA
12385,756,Elmwood Community League Spray,12505 75 STREET NW T5B4K8,Spray Deck,Concrete,Wheelchair Accessible,Parks,Parks,2009/09/01,53.5815136809729,-113.45619173178821,"(53.5815136809729, -113.45619173178821)",POINT (-113.45619173178821 53.5815136809729),1130,ELMWOOD PARK
329985,3672,Capilano School Spray Park,10720 54 Street NW,Spray Deck,Pour In Place Rubber,Wheelchair Accessible,Parks,Parks,2014/09/01,53.55575337738651,-113.42224962330164,"(53.55575337738651, -113.42224962330164)",POINT (-113.42224962330164 53.55575337738651),6061,CAPILANO
12346,679,Sherbrooke Spray Park,12956 - 122 AVENUE NW,Spray Deck,Concrete,Wheelchair Accessible,Parks,Parks,2005/09/01,53.575212117829885,-113.54809177391576,"(53.575212117829885, -113.54809177391576)",POINT (-113.54809177391576 53.575212117829885),3410,SHERBROOKE
12642,2326,Bonnie Doon Spray,9217 - 94 STREET NW,Spray Deck,Pour In Place Rubber,Wheelchair Accessible,Parks,Parks,2009/09/01,53.527647305731364,-113.47045571192135,"(53.527647305731364, -113.47045571192135)",POINT (-113.47045571192135 53.527647305731364),6040,BONNIE DOON
12243,3000,Kenilworth Spray,7104 - 87 AVENUE NW T6B3C2,Spray Deck,Pour In Place Rubber,Wheelchair Accessible,Parks,Parks,2006/09/01,53.52256432095729,-113.43732553135037,"(53.52256432095729, -113.43732553135037)",POINT (-113.43732553135037 53.52256432095729),6350,KENILWORTH
