ID,Playground Number,Name,Address,Type,Surface Type,Accessibility,User Category,Maintainer,Redevelopment Date,Latitude,Longitude,Location,Geometry Point,Neighbourhood ID,Neighbourhood Name
795,3735,Callaghan Park Playground,1385 Cunningham Drive SW,Playground,Sand,Wheelchair Accessible,Junior/Senior (18 months to 12 years),Parks,2018/08/31,53.406085,-113.528545,"(53.406084822617764, -113.52854525953254)",POINT (-113.52854525953254 53.406084822617764),5457,CALLAGHAN
695,93,Baturyn Playground,10505 172 Avenue NW,Playground,Sand,Unknown,Junior/Senior (18 months to 12 years),Parks,2021/10/15,53.632672,-113.504831,"(53.63267164037009, -113.50483112184324)",POINT (-113.50483112184324 53.63267164037009),3030,BATURYN
743,87,Castle Downs Park Playground,11520 153 Avenue NW,Playground,Pour In Place Rubber,Wheelchair Accessible,Junior/Senior (18 months to 12 years),Parks,2010/12/31,53.616606,-113.525147,"(53.616605539732475, -113.52514722397196)",POINT (-113.52514722397196 53.616605539732475),3180,DUNLUCE
13327,1940,Rosslyn Neighbourhood Park Playground,13535 104 Street NW,Playground,Sand,Unknown,Junior/Senior (18 months to 12 years),Parks,1970/12/31,53.597838,-113.498434,"(53.59783775909303, -113.49843389786972)",POINT (-113.49843389786972 53.59783775909303),3390,ROSSLYN
917,3658,Windermere/Langdale,176 Street SW & 7A Avenue SW,Playground,Engineered Wood Fibre,Wheelchair Accessible,Junior/Senior (18 months to 12 years),Parks,2015/12/31,53.427404,-113.622286,"(53.42740436507101, -113.6222861286135)",POINT (-113.6222861286135 53.42740436507101),5570,WINDERMERE
348,132,Hazeldean School,9630 66 Avenue NW,Playground,"Pour In Place Rubber, Sand",Wheelchair Accessible,Junior/Senior (18 months to 12 years),Parks,2014/12/31,53.503214,-113.477057,"(53.50321391236794, -113.47705736681976)",POINT (-113.47705736681976 53.50321391236794),6290,HAZELDEAN
502,608,Rideau School,42 Avenue - 106 Street NW,Playground,Sand,Unknown,Junior/Senior (18 months to 12 years),Parks,2003/12/31,53.477999,-113.504616,"(53.47799921284156, -113.5046155457872)",POINT (-113.5046155457872 53.47799921284156),5360,RIDEAU PARK
459,2181,Rundle Park,2909 113 Avenue NW,Playground,Engineered Wood Fibre,Wheelchair Accessible,Unknown,Parks,2005/12/31,53.554996,-113.386416,"(53.554996463630076, -113.38641599938379)",POINT (-113.38641599938379 53.554996463630076),2650,RIVER VALLEY RUNDLE
189,55,Horse Hill School,19355 Meridian Street NW,Playground,Sand,Unknown,Senior (6 to 12 years),Parks,1994/12/31,53.657118,-113.343117,"(53.657118418928235, -113.34311736417936)",POINT (-113.34311736417936 53.657118418928235),2671,MARQUIS
190,3581,Hudson Park Playground,Cumberland Rd & 138 St,Playground,"Pour In Place Rubber, Sand",Wheelchair Accessible,Junior/Senior (18 months to 12 years),Parks,2009/12/31,53.607629,-113.556273,"(53.60762852722486, -113.55627298615973)",POINT (-113.55627298615973 53.60762852722486),3480,HUDSON
